antecedents,consequents,support,confidence,lift
"frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})",0.126,0.6774193548387097,3.8489736070381237
"frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})","frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})",0.126,0.7159090909090909,3.8489736070381233
"frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})","frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})",0.126,0.6774193548387097,3.7634408602150544
"frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})",0.126,0.7000000000000001,3.763440860215054
"frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})","frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})",0.126,0.6847826086956522,3.7625418060200673
"frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})","frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})",0.126,0.6923076923076923,3.762541806020067
"frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})",0.126,0.6702127659574468,3.7234042553191493
"frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})",0.126,0.7000000000000001,3.7234042553191493
"frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})",0.126,0.7000000000000001,3.7234042553191493
"frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})",0.126,0.6702127659574468,3.7234042553191493
"frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})",0.126,0.6774193548387097,3.722084367245658
"frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})",0.126,0.6923076923076923,3.7220843672456576
